mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma0_std,chroma1_std,chroma2_std,chroma3_std,chroma4_std,chroma5_std,chroma6_std,chroma7_std,chroma8_std,chroma9_std,chroma10_std,chroma11_std,label,file
1.5616671e-06,-7.8083355e-07,0.0,-1.3013893e-06,6.5069464e-08,1.6267366e-08,-1.3013893e-07,-9.760419e-08,-6.5069464e-08,1.3013893e-07,1.9520839e-07,-1.3013893e-07,6.5069464e-08,2.6027786e-07,-3.2534732e-08,-6.5069464e-08,-2.2774312e-07,-9.435072e-07,-1.9520839e-07,-4.229515e-07,89.231895,28.001728,21.398544,17.423128,13.003246,15.804998,9.341148,9.012991,10.556469,8.948515,11.500469,7.51767,7.8622866,8.922364,7.823253,9.382439,9.330016,10.797339,9.957589,10.7928295,0.39661163,0.40457445,0.28733894,0.37265795,0.30535382,0.47061375,0.32597294,0.3357295,0.4261933,0.39476028,0.4474619,0.28148213,0.29136103,0.3083223,0.23315671,0.3265167,0.25210586,0.35108095,0.2615315,0.22515477,0.31593752,0.29507837,0.3396132,0.22144444,bati,Bati1.wav
-2.40757e-06,-7.8083355e-07,-6.5069463e-07,6.5069463e-07,3.5788204e-07,1.3013893e-07,-1.9520839e-07,3.9041677e-07,-2.6027786e-07,1.6267366e-07,4.88021e-07,3.2534732e-08,-9.1097246e-07,-2.6027786e-07,-2.6027786e-07,-6.5069464e-08,-9.597745e-07,-2.2774312e-07,6.5069463e-07,-3.6601573e-08,29.344952,16.398508,13.408216,17.212923,10.265888,9.431337,8.077691,10.641984,8.003524,8.211976,6.293736,7.0693,8.122438,6.294095,7.417605,6.881418,5.960212,6.680046,7.775726,7.3216357,0.44937998,0.21351056,0.21506424,0.3718387,0.2987135,0.5799002,0.31853583,0.52059644,0.44829687,0.29983938,0.38020647,0.27433202,0.32974207,0.18259174,0.16203865,0.29716578,0.20367143,0.35878778,0.18836282,0.3146762,0.31451645,0.20416614,0.2653792,0.21434201,bati,Bati10.wav
-7.8083355e-07,2.6027786e-07,1.3013893e-07,-1.3013893e-07,-3.5788204e-07,6.5069464e-08,-9.760419e-08,1.6267366e-07,5.205557e-07,2.6027786e-07,-9.1097246e-07,-4.88021e-07,1.1387156e-06,-8.947051e-08,-1.3013893e-07,6.5069464e-08,-5.205557e-07,-1.7894102e-07,-1.3013893e-07,1.6267366e-07,46.702232,25.958721,20.00504,20.047787,15.379809,14.211543,11.865088,10.462798,9.944502,10.572943,10.405917,9.302964,11.679668,8.899795,8.634396,9.560396,8.28213,7.922475,9.051953,7.99974,0.19733985,0.17927991,0.29481977,0.274791,0.44836095,0.2060428,0.2504413,0.31721887,0.32224512,0.3744213,0.33053136,0.46864906,0.20685637,0.20538373,0.30780265,0.2413151,0.36362788,0.19230676,0.24015315,0.3029044,0.28249216,0.34341648,0.27965084,0.37272254,bati,Bati100.wav
-1.0411114e-06,0.0,-2.6027786e-07,-4.5548623e-07,-1.9520839e-07,6.5069464e-08,-1.3013893e-07,3.2534732e-08,1.6267366e-08,-1.3013893e-07,-3.4161468e-07,9.760419e-08,1.9520839e-07,0.0,-1.203785e-06,2.7654522e-07,-1.9520839e-07,6.5069464e-08,2.6027786e-07,5.205557e-07,51.59086,24.617764,20.921122,13.397811,12.654165,13.538498,10.177546,9.980241,10.925225,10.17344,9.702545,8.943006,9.704263,9.79636,9.420437,12.560074,10.397863,9.7375145,11.640661,12.836612,0.3730943,0.29341593,0.29842937,0.45861226,0.39344868,0.49247453,0.30596152,0.39067745,0.37453163,0.420082,0.4353599,0.27735642,0.30539584,0.2602754,0.24889278,0.34443715,0.2833531,0.3685851,0.24779691,0.30646753,0.28867304,0.30479112,0.32641885,0.23168075,bati,Bati101.wav
-6.2466684e-06,-1.4965976e-06,-3.9041677e-07,6.5069463e-07,1.3013893e-07,3.9041677e-07,-1.9520839e-07,7.8083355e-07,-1.464063e-07,-1.9520839e-07,-6.5069463e-07,1.3013893e-07,-3.2534732e-08,0.0,2.6027786e-07,2.6027786e-07,5.205557e-07,3.2534732e-08,-6.5069463e-07,1.3013893e-07,93.4317,18.632654,32.349148,12.695479,15.248014,11.736329,8.1400175,12.600378,10.546669,9.91649,13.391196,8.4853945,7.93043,10.178476,13.390881,15.438789,13.020128,10.544705,12.771505,12.19909,0.19800079,0.29126802,0.19865258,0.3073977,0.20151968,0.2412585,0.40548074,0.41753325,0.56718695,0.34652638,0.29341635,0.22710285,0.20876902,0.33542567,0.21886055,0.29713753,0.20247306,0.2304415,0.30184725,0.33352125,0.3718547,0.26677275,0.2967906,0.25750265,bati,Bati102.wav
-9.1097245e-06,0.0,1.3664587e-06,-6.5069464e-08,-3.9041677e-07,0.0,-2.2774312e-07,5.205557e-07,4.8802097e-08,1.3013893e-07,7.320315e-07,-1.6267366e-07,3.2534732e-07,3.2534732e-08,-1.3013893e-07,-1.3013893e-07,-6.5069464e-08,5.205557e-07,-1.3013893e-07,-1.6267366e-07,43.710403,17.837368,17.63074,13.421038,10.922437,10.897782,8.681078,9.896433,9.924416,7.867316,7.850198,7.540086,7.5926137,7.3651547,7.869199,9.361314,10.502066,11.0254965,10.545077,9.485242,0.33737266,0.42740744,0.26188037,0.28415492,0.40881112,0.43107966,0.6645626,0.46347576,0.53647673,0.46548888,0.45069668,0.5007729,0.21452259,0.29566604,0.2024258,0.23209761,0.29060397,0.2464207,0.31327894,0.25591192,0.3039976,0.28466445,0.25363192,0.29936054,bati,Bati103.wav
-8.328891e-06,1.8219449e-06,6.5069463e-07,-6.5069464e-08,9.1097246e-07,9.76042e-07,5.693578e-07,-1.3013893e-07,5.856252e-07,6.5069464e-08,1.3013893e-07,0.0,-6.5069463e-07,0.0,-6.8322936e-07,3.2534732e-08,8.45903e-07,4.5548623e-07,7.157641e-07,-1.9520839e-07,100.83928,44.079094,12.949278,14.3434305,12.473017,9.449784,9.40528,7.3944983,8.157478,6.55163,7.7407465,7.26591,6.6718645,5.5781827,5.165137,5.4045763,5.5584655,6.30147,6.853192,6.5519357,0.37412548,0.639043,0.3423787,0.32244033,0.40605834,0.4419927,0.65232986,0.37573245,0.364943,0.433691,0.40043423,0.45440876,0.24559449,0.3160718,0.20666759,0.2570985,0.2841713,0.26284295,0.31868884,0.21576734,0.24696973,0.31859303,0.2710788,0.32062376,bati,Bati104.wav
0.0,0.0,3.9041677e-07,0.0,5.205557e-07,-1.0411114e-06,-5.856252e-07,3.5788204e-07,3.9041677e-07,0.0,5.205557e-07,6.5069464e-08,6.8322936e-07,-8.133683e-08,6.5069464e-08,1.3013893e-07,7.8083355e-07,4.0668414e-07,8.45903e-07,-6.5069464e-08,67.08477,22.390951,24.730022,20.240465,13.829057,15.67359,12.474592,10.861365,12.649629,9.060426,8.689348,8.863459,8.543629,9.024387,9.815921,8.968205,11.413361,12.2074995,11.706472,10.885745,0.37198168,0.50707644,0.28738406,0.35320243,0.3591187,0.29301295,0.35962218,0.4588219,0.6080572,0.27225628,0.28820166,0.39324912,0.26548904,0.3424089,0.20406432,0.27817068,0.2852225,0.21086124,0.26070166,0.26752236,0.33863464,0.18511268,0.23743205,0.31715065,bati,Bati105.wav
-7.8083355e-07,2.6027786e-07,1.3013893e-07,-1.3013893e-07,-3.5788204e-07,6.5069464e-08,-9.760419e-08,1.6267366e-07,5.205557e-07,2.6027786e-07,-9.1097246e-07,-4.88021e-07,1.1387156e-06,-8.947051e-08,-1.3013893e-07,6.5069464e-08,-5.205557e-07,-1.7894102e-07,-1.3013893e-07,1.6267366e-07,46.702232,25.958721,20.00504,20.047787,15.379809,14.211543,11.865088,10.462798,9.944502,10.572943,10.405917,9.302964,11.679668,8.899795,8.634396,9.560396,8.28213,7.922475,9.051953,7.99974,0.19733985,0.17927991,0.29481977,0.274791,0.44836095,0.2060428,0.2504413,0.31721887,0.32224512,0.3744213,0.33053136,0.46864906,0.20685637,0.20538373,0.30780265,0.2413151,0.36362788,0.19230676,0.24015315,0.3029044,0.28249216,0.34341648,0.27965084,0.37272254,bati,Bati106.wav
3.6438898e-06,-1.0411114e-06,-6.5069464e-08,9.76042e-07,-1.3013893e-07,-1.9520839e-07,-8.133683e-07,2.6027786e-07,0.0,1.05737875e-07,7.157641e-07,1.9520839e-07,6.8322936e-07,2.2774312e-07,-6.5069464e-08,1.7894102e-07,-2.6027786e-07,-6.5069464e-08,1.5616671e-06,-4.3921887e-07,44.645157,22.367563,22.1877,18.949541,14.958604,10.022994,8.650995,11.721853,8.527618,9.265998,7.598884,7.1732454,7.336761,7.5263634,5.962964,6.883753,8.54945,5.758686,7.1655903,6.408851,0.20421278,0.19845559,0.220824,0.24306402,0.28013387,0.39464414,0.37887505,0.401469,0.668901,0.86652344,0.66781676,0.2694366,0.20946318,0.20944993,0.21775706,0.1965609,0.180085,0.2542407,0.25429353,0.24563284,0.24945717,0.19326004,0.22668296,0.18079215,bati,Bati107.wav
